CDB_ID,Party_NumberĿ,Account(Customer_Name),Country_Code_Only
185,230554,MEDIACORP PTE LTD,SG
186,230555,STADTWERKE TÜBINGEN GMBH,DE
187,230556,PRICEWATERHOUSECOOPERS INFORMATION TECHNOLOGIES (SHANGHAI) CO LTD,CN
188,230557,POSTFINANCE AG,CH
189,230558,CHINA CITIC BANK,CN
190,230559,TATA POWER STRATEGIC ENGINEERING DIVISION,IN
191,230560,MUENCHENER RUECKVERSICHERUNGS,DE
192,230561,GITI TIRE (CHINA) INVESTMENT COMPANY LTD,CN
193,230562,LAND TRANSPORT AUTHORITY,WS
194,230563,ELECTRONICS FOR IMAGING,US
196,230564,INDOCO REMEDIES LTD,IN
197,230565,SHANGHAI RURAL COMMERCIAL BANK,CN
198,230566,SMALL INDUSTRIES DEVELOPMENT BANK,IN
199,230567,SCHWARZ IT INFRASTRUCTURE & OPERATIONS SERVICES GMBH & CO. KG,DE
200,230568,ORANGE CLOUD FOR BUSINESS,FR
201,230569,ETIHAD RAIL,AE
202,230570,AREEBA,LB
203,230571,TEREOS,IN
204,230572,DIMENSION DATA (SINGAPORE) PTE. LTD.,SG
205,230573,CIGNA & CMC LIFE INSURANCE COMPANY LIMITED,CN
207,230574,KUWAIT NATIONAL PETROLEUM CO KNPC,KW
208,230575,IGA HAVALIMANI ISLETMESI AS,TR
210,230576,ADSN,FR
211,230577,ASEAN SECRETARIAT,ID
212,230578,MELCO RESORTS & ENTERTAINMENT,MO
213,230579,HAIER FINANCIAL SERVICE CHINA COLTD,CN
214,230580,NTUC INCOME CENTRE,SG
215,230581,"GTA SEMICONDUCTOR CO.,LTD",CN
217,230582,TATA CONSULTANCY SERVICES,IN
218,230583,ION TRADING INC,GB
219,230584,"DONGFENG LIUZHOU MOTOR CO., LTD.",CN
220,230585,SHANGHAI FUTURES EXCHANGE,CN
221,230586,CHINA MOBILE GROUP SHANGHAI CO LTD,CN
222,230587,SAUDI ARABIA MINSTRY OF INTERIOR,SA
223,230588,NATIONWIDE BUILDING SOCIETY,GB
224,230589,SUMITOMO SHI FW ENERGIA OY,FI
